2025/01/22 18:12:28 [warn] 1854#1854: *35 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 45.123.222.237, server: server.chetanbudathoki.com.np, request: "GET /css/main.css?v=2.12.1 HTTP/1.1", upstream: "http://161.97.141.69:81/css/main.css?v=2.12.1", host: "server.chetanbudathoki.com.np", referrer: "https://server.chetanbudathoki.com.np/"
2025/01/22 18:12:28 [warn] 1855#1855: *36 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 45.123.222.237, server: server.chetanbudathoki.com.np, request: "GET /js/main.bundle.js?v=2.12.1 HTTP/1.1", upstream: "http://161.97.141.69:81/js/main.bundle.js?v=2.12.1", host: "server.chetanbudathoki.com.np", referrer: "https://server.chetanbudathoki.com.np/"
2025/01/22 18:13:38 [warn] 1854#1854: *106 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 34.72.176.129, server: server.chetanbudathoki.com.np, request: "GET /css/main.css?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/css/main.css?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "http://server.chetanbudathoki.com.np/"
2025/01/22 18:13:38 [warn] 1854#1854: *145 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 34.122.147.229, server: server.chetanbudathoki.com.np, request: "GET /js/main.bundle.js?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/js/main.bundle.js?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "http://server.chetanbudathoki.com.np/"
2025/01/22 18:13:45 [warn] 1854#1854: *145 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 34.122.147.229, server: server.chetanbudathoki.com.np, request: "GET /css/main.css?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/css/main.css?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "http://server.chetanbudathoki.com.np/login"
2025/01/22 18:13:45 [warn] 1854#1854: *106 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 34.72.176.129, server: server.chetanbudathoki.com.np, request: "GET /js/login.bundle.js?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/js/login.bundle.js?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "http://server.chetanbudathoki.com.np/login"
2025/01/22 18:13:51 [warn] 1855#1855: *252 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 205.169.39.235, server: server.chetanbudathoki.com.np, request: "GET /js/main.bundle.js?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/js/main.bundle.js?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "http://server.chetanbudathoki.com.np/"
2025/01/22 18:14:04 [warn] 1855#1855: *264 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/00/0000000008 while reading upstream, client: 205.169.39.235, server: server.chetanbudathoki.com.np, request: "GET /css/main.css?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/css/main.css?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "http://server.chetanbudathoki.com.np/"
2025/01/22 18:14:04 [warn] 1855#1855: *267 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/9/00/0000000009 while reading upstream, client: 205.169.39.235, server: server.chetanbudathoki.com.np, request: "GET /js/main.bundle.js?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/js/main.bundle.js?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "http://server.chetanbudathoki.com.np/"
2025/01/22 18:14:55 [warn] 1856#1856: *1796 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/75/0000000753 while reading upstream, client: 106.75.154.180, server: server.chetanbudathoki.com.np, request: "GET /js/main.bundle.js?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/js/main.bundle.js?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "https://odeyaco.com:443"
2025/01/22 18:15:22 [warn] 1854#1854: *1821 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/75/0000000754 while reading upstream, client: 106.75.137.67, server: server.chetanbudathoki.com.np, request: "GET /js/main.bundle.js?v=2.12.2 HTTP/1.1", upstream: "http://161.97.141.69:81/js/main.bundle.js?v=2.12.2", host: "server.chetanbudathoki.com.np", referrer: "https://www.addictivemerchandise.com"
